"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1652.29/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x0b0e78645a8c4ff0d0960a1b9796ee8b6357797b2afebf4dd5c35f00f5c2acbc","14327632","1646493701","2022-03-05 15:21:41","0x6fb93f0be8d86c81ec0cc6e02764b548713a5234","","0x31d45de84fde2fb36575085e05754a4932dd5170","0","0","0","0.187218920695657076","309.339950476227","2666.18","","","0x60806040",""
"0x13f5156baf592d38ef7b54098ef782d3d0649b2e50dc03126c29df290784c1a9","14328100","1646499665","2022-03-05 17:01:05","0x2183aaa7d460c62996d612790c6d3e754691b332","0x31d45de84fde2fb36575085e05754a4932dd5170","","0.15","0","247.8435","0.010381156663699584","17.1526813438642","2666.18","","","Mint",""
"0x91bd6419eaa79e2dba895913912419fd3ecd7caba47edb25bbb192eaa04b83fd","14328102","1646499669","2022-03-05 17:01:09","0x187dad1e0dd5e599091c2ec88e89afb4cde4b7a3","0x31d45de84fde2fb36575085e05754a4932dd5170","","0.05","0","82.6145","0.003529931127323912","5.83246990236603","2666.18","","","Mint",""
"0xf395ba6a6355d4de3ba6a202e7d72e5a041895af423bd69e54f5fa5b4b9435c0","14328102","1646499669","2022-03-05 17:01:09","0x6fd155b9d52f80e8a73a8a2537268602978486e2","0x31d45de84fde2fb36575085e05754a4932dd5170","","0.5","0","826.145","0.026738858378510036","44.1803483102283","2666.18","","","Mint",""
"0x8354180f783632f4712d8006ee28d1d41d2738cc717a592736885b2c3bf4b3b6","14328102","1646499669","2022-03-05 17:01:09","0xe38d978e500242e5e6df46be5dc1bd47cb06555f","0x31d45de84fde2fb36575085e05754a4932dd5170","","0.15","0","247.8435","0.008687470516476384","14.3542206596688","2666.18","","","Mint",""
"0x0e221eabb99fbebf3a210b61b0fad02a6a5c7c2f59a34107c4b9d12441b41124","14328105","1646499708","2022-03-05 17:01:48","0x2183aaa7d460c62996d612790c6d3e754691b332","0x31d45de84fde2fb36575085e05754a4932dd5170","","0.1","0","165.229","0.006323825039837784","10.4487928750736","2666.18","","","Mint",""
"0x8c319d28b999230ff7991c913a56b4808bc55e513cbffbd9e1e20ec25adf9fb3","14328105","1646499708","2022-03-05 17:01:48","0x3a308a74f0e746a44c4a2e2fe9231e879df44db5","0x31d45de84fde2fb36575085e05754a4932dd5170","","0.05","0","82.6145","0.003538090053813296","5.84595081501517","2666.18","","","Mint",""
"0xc080269758fbd4cf012b2bd0967078af42adcb164ca4842146ab1a5bb83d20ff","14328105","1646499708","2022-03-05 17:01:48","0x3e9edeb8714a1fa225d053545fa6365a21b05303","0x31d45de84fde2fb36575085e05754a4932dd5170","","0.2","0","330.458","0.01129228049976596","18.6581221469583","2666.18","","","Mint",""
"0xfdd5483eeeb49940440ee21018a71ca2cf3e4168b1d3eff2dab75829f11f14b0","14328105","1646499708","2022-03-05 17:01:48","0xa033117f71d4862e6ded42301daf70f6c4388280","0x31d45de84fde2fb36575085e05754a4932dd5170","","0.05","0","82.6145","0.003538090053813296","5.84595081501517","2666.18","","","Mint",""
"0xdd52345bc03988a24a8cde98544c1a2c20e49103b476b5ef41b5459450f78621","14328105","1646499708","2022-03-05 17:01:48","0x4aacfb81810d28588d5928d08bced7b6ed35bde0","0x31d45de84fde2fb36575085e05754a4932dd5170","","0.3","0","495.687","0.016461740797067736","27.1995697015871","2666.18","","","Mint",""
