"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1559.48/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x2ce7f9322f9175f89be47557c263e7eb30e41dc4b00fb505656f8a89c40f1e74","15086919","1657083269","2022-07-06 04:54:29","0xf3e9927b087b300beb5c0d7afd8c5967f1880c9d","","0x470c41dedfb43460991016dac017a9c00fdebe15","0","0","0","0.049392846817961868","77.0271567556752","1185.41","","","0x60a06040",""
"0x451643d1a4548fedc2cd1a643edda83f0560c37c8df84949e6127d5900578af1","15086990","1657084245","2022-07-06 05:10:45","0xf3e9927b087b300beb5c0d7afd8c5967f1880c9d","0x470c41dedfb43460991016dac017a9c00fdebe15","","0","0","0","0.000598168426184704","0.932831697266522","1185.41","","","Set Pre Sale",""
"0xb841eda80177f15f02980b29b4d1fe2b8304c7a73af729c000a6f078e7b2e279","15086990","1657084245","2022-07-06 05:10:45","0xf3e9927b087b300beb5c0d7afd8c5967f1880c9d","0x470c41dedfb43460991016dac017a9c00fdebe15","","0","0","0","0.000338974283034624","0.528623614906835","1185.41","","","Set Public Sale",""
"0xa108a5d39a4fdcb904cef082be92c538780d1ac6008d8f1cdeda7881fd0cf92c","15086993","1657084298","2022-07-06 05:11:38","0xf3e9927b087b300beb5c0d7afd8c5967f1880c9d","0x470c41dedfb43460991016dac017a9c00fdebe15","","0","0","0","0.000443169417281448","0.691113842862073","1185.41","","","Set Reserved Sale",""
"0xa1e32cc935f93a6f20d37958d477c4117cb418fb702f0b08d67311783dc9c136","15087015","1657084640","2022-07-06 05:17:20","0xf3e9927b087b300beb5c0d7afd8c5967f1880c9d","0x470c41dedfb43460991016dac017a9c00fdebe15","","0","0","0","0.00127253813744358","1.98449777458051","1185.41","","","Set Presale Merkle Root",""
"0xdeba1f02be85e3480f0c40146f01b03c4ebe19f389628f0ea54f5c4664db9e2c","15087021","1657084695","2022-07-06 05:18:15","0xf3e9927b087b300beb5c0d7afd8c5967f1880c9d","0x470c41dedfb43460991016dac017a9c00fdebe15","","0","0","0","0.001030611062865843","1.60721734031802","1185.41","","","Set Reserved Merkle Root",""
"0x671a22e6531b95c1c1ecb873fc78dc196343081ee2435902b7bda59701286f9e","15087058","1657085221","2022-07-06 05:27:01","0xf3e9927b087b300beb5c0d7afd8c5967f1880c9d","0x470c41dedfb43460991016dac017a9c00fdebe15","","0","0","0","0.00050429655598684","0.786440393130357","1185.41","","","Set Presale Merkle Root",""
"0x0070b651fdc2013ea50b0565734858986c9b91d3fb2d912919224a747bee0056","15087060","1657085250","2022-07-06 05:27:30","0xf3e9927b087b300beb5c0d7afd8c5967f1880c9d","0x470c41dedfb43460991016dac017a9c00fdebe15","","0.08","0","124.7584","0.003607656972056991","5.62606889478344","1185.41","","","Pre Mint",""
"0xb3acd49f43fe63ebc9ac8d330ceb244132aa7f3017adabf6dcb7caa8941ee64a","15087067","1657085367","2022-07-06 05:29:27","0xf3e9927b087b300beb5c0d7afd8c5967f1880c9d","0x470c41dedfb43460991016dac017a9c00fdebe15","","0","0","0","0.001322595294951309","2.06256091057067","1185.41","","","Withdraw",""
"0xb0b6990525d3f865ad207f07923942685ac16f405bb4251682a736d6f9f63b10","15087076","1657085493","2022-07-06 05:31:33","0xf3e9927b087b300beb5c0d7afd8c5967f1880c9d","0x470c41dedfb43460991016dac017a9c00fdebe15","","0","0","0","0.000655125473769715","1.0216550738344","1185.41","","","Set Not Revealed URI",""
"0x6a706742ebcba239c6b7973867b4997bf33a3914c36a2f24c824332c8dca65aa","15087099","1657085837","2022-07-06 05:37:17","0xf3e9927b087b300beb5c0d7afd8c5967f1880c9d","0x470c41dedfb43460991016dac017a9c00fdebe15","","0.08","0","124.7584","0.002863507924140144","4.46558333753807","1185.41","","","Pre Mint",""
