"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1143.61/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x5103d4b2b39e5a8648386a84595cc1bbfae205f3db1701ad3ae113b2d3577bb8","15071275","1656874039","2022-07-03 18:47:19","0x7b92bbf4c3e43a46bb9431bdf7a23930e2a9893d","","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","0","0","0","0.083717080177718939","95.8627541699024","1072.95","","","0x60806040",""
"0xbd6435bbcf1a5fcc33cdf602d75cbd8bbfcd347f619465d20dbfb094c30a239f","15071399","1656875648","2022-07-03 19:14:08","0x7b92bbf4c3e43a46bb9431bdf7a23930e2a9893d","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.002616675628269773","2.99630292841915","1072.95","","","Set Base URI",""
"0x4efaa47457cb393189210e614298f9fcbe022e1a6f15cea8463872bbcd81e8c6","15071444","1656876211","2022-07-03 19:23:31","0x7b92bbf4c3e43a46bb9431bdf7a23930e2a9893d","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.000848507139746262","0.97160855558065","1072.95","","","Flip Public Sale State",""
"0xe239e7630cbdbbd58ec38627db5f1a8952f0887571675949580817856534a07a","15071448","1656876264","2022-07-03 19:24:24","0x84083b73cd736f056b06e7c6d08fe89fa86904bf","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.002779430517891192","3.18267029742685","1072.95","","","Mint Public",""
"0xb36de5114b1248661e1d6e95f1129cd166d8144ae889ec17ced2c2fc24ab8cc5","15071450","1656876281","2022-07-03 19:24:41","0x7b92bbf4c3e43a46bb9431bdf7a23930e2a9893d","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.001375386823214176","1.57492794352609","1072.95","","","Mint Private",""
"0x1926dadad267c90c2fb7a7c75e41f6005e797d2d982927c59f4e078010bec6dd","15071456","1656876330","2022-07-03 19:25:30","0x063ccafc58e77a07b59e4ddc262abb80c3ffddb4","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.002293666257286272","2.62643135789336","1072.95","","","Mint Public",""
"0xb6d71d2d401cca77affbc399e615b9672a0e38e33b02af050cfc89a918bd5981","15071459","1656876390","2022-07-03 19:26:30","0x7b92bbf4c3e43a46bb9431bdf7a23930e2a9893d","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.0014558697699768","1.66708735620503","1072.95","","","Mint Private",""
"0x7fbd90988facad2eeb6368fb6a0a5b3b09be93c5130e7d0bfdbfea881810484d","15071459","1656876390","2022-07-03 19:26:30","0x7b92bbf4c3e43a46bb9431bdf7a23930e2a9893d","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.0014558697699768","1.66708735620503","1072.95","","","Mint Private",""
"0xcd8471c5a33d7e93a0f7ef1e3760137f8a38e3fcfae921aecc2a1ad519718fac","15071462","1656876408","2022-07-03 19:26:48","0x814c1033a4907a74ea732b1f35c05397d6070361","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.00205770330951408","2.35623490565838","1072.95","","","Mint Public",""
"0xb9ff416a2f1df8a466c1d42173b60439d66023d9374113c2c8ade90d53161b35","15071462","1656876408","2022-07-03 19:26:48","0x7b92bbf4c3e43a46bb9431bdf7a23930e2a9893d","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.00130612665522096","1.49561951036042","1072.95","","","Mint Private",""
"0x81cfde00bad2e306832531880f45ae58f336dfe1dec28d6a32a68a567195129e","15071462","1656876408","2022-07-03 19:26:48","0x7b92bbf4c3e43a46bb9431bdf7a23930e2a9893d","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.00130612665522096","1.49561951036042","1072.95","","","Mint Private",""
