Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $1198.59/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0x5c332ebe034154e4ba010e5ef8dce7b60cb944b077e2279874aa5b2ed16f4348,15035829,1656356618,2022-06-27 19:03:38,0x5e4aeee3013b94b10a7faca0c637c96f4d3410c9,,0x02f74badce458387ecaef9b1f229afb5678e9aad,0,0,0,0.021511262460639000,25.7831840726973,1190.73,,,60806040,
0x3f57c7a6715133204aaa01f06be8933a582fe35e3770e4316b3048bb0241366f,15035853,1656356940,2022-06-27 19:09:00,0x5e4aeee3013b94b10a7faca0c637c96f4d3410c9,0x02f74badce458387ecaef9b1f229afb5678e9aad,,0,0,0,0.002867646725095540,3.43713268823226,1190.73,,,Update Royalties,
0x21f3dc30767b80e1acfcdefb67d60ba02d4b982a020a1a5eadc767578db0df9a,15035912,1656358027,2022-06-27 19:27:07,0x5e4aeee3013b94b10a7faca0c637c96f4d3410c9,0x02f74badce458387ecaef9b1f229afb5678e9aad,,0,0,0,0.005193345579409710,6.22469207802469,1190.73,,,Airdrop,
0x4decfd896677754b5c3cf4355ad5d456b121a023c9c29e29faeb773d09985713,15035921,1656358163,2022-06-27 19:29:23,0x5e4aeee3013b94b10a7faca0c637c96f4d3410c9,0x02f74badce458387ecaef9b1f229afb5678e9aad,,0,0,0,0.005393705739494440,6.46484176230063,1190.73,,,Update Reveal,
0xad2064f4cb9e2ddb0a21fa2a9e5070f01e7ef815d335da711cab5680820b67d2,15036251,1656363348,2022-06-27 20:55:48,0x5e4aeee3013b94b10a7faca0c637c96f4d3410c9,0x02f74badce458387ecaef9b1f229afb5678e9aad,,0,0,0,0.008781197568062810,10.5250555931044,1190.73,,,Airdrop,
0xbe68406dc1a5601763448448cd53787ae0c81647cc193ce520703724851f2d43,15036345,1656364776,2022-06-27 21:19:36,0x5e4aeee3013b94b10a7faca0c637c96f4d3410c9,0x02f74badce458387ecaef9b1f229afb5678e9aad,,0,0,0,0.007787280071124740,9.33375602044941,1190.73,,,Airdrop,
0xf79542943d55794171e83d976d41a9a785e50d24cdb9a481b14b693f50843ae3,15036377,1656365376,2022-06-27 21:29:36,0x5e4aeee3013b94b10a7faca0c637c96f4d3410c9,0x02f74badce458387ecaef9b1f229afb5678e9aad,,0,0,0,0.002642523200910200,3.16730188337895,1190.73,,,Update Sale,
0xd5e96ea22580141cafc3c80e4a31cb1c9be05fa33f3bb0acbe9283bd8f63a53c,15036388,1656365509,2022-06-27 21:31:49,0x5e4aeee3013b94b10a7faca0c637c96f4d3410c9,0x02f74badce458387ecaef9b1f229afb5678e9aad,,0,0,0,0.001680669560987290,2.01443372910375,1190.73,,,Update Sale,
0x534871f84f976a4ec3896814f4a2b67e93f267e6376eb2f3e375eb248d7460e3,15036469,1656366808,2022-06-27 21:53:28,0xa891fde42e982148b5f2f6b06f04be8e706a190e,0x02f74badce458387ecaef9b1f229afb5678e9aad,,0.005,0,5.99295,0.0018220022675729,2.1838336978902,1190.73,Error(0),execution reverted,Mint,
0xfec00fa6c9da69bb6f44a7604db2dbbcfecdbfff51809a803ff0e9b4a1fb3177,15036510,1656367497,2022-06-27 22:04:57,0xab97237a31f85ce38ce71be394513de7ec6e7b5e,0x02f74badce458387ecaef9b1f229afb5678e9aad,,0.005,0,5.99295,0.001148,1.37598132,1190.73,Error(0),execution reverted,Mint,
